Quantum_Feature_0,Quantum_Feature_1,Quantum_Feature_2,Quantum_Feature_3,Quantum_Feature_4,Quantum_Feature_5,Quantum_Feature_6,Quantum_Feature_7,Quantum_Feature_8,Quantum_Feature_9,label,Subject_ID
5.613996846443037e-05,-5.815372930711993e-05,-0.01317334401555692,0.010353516580153266,0.02737812035647197,-0.015671577862563513,-0.04255141377585758,0.4250517394203284,0.0256566437869985,-0.0804309324581669,1,SUB01_1
0.00022098661932201669,-0.0002262595112563215,-0.050213745878220695,0.03907573364788175,-0.004544191815601173,-0.0496028369322522,-0.03540654050518621,0.42825757032646805,0.02887163791970576,-0.08563668408418551,1,SUB01_1
0.004280449806051245,-0.0004320450088363126,-0.10327930436036137,0.07898548267199468,-0.042265025066615725,-0.08677823837739851,-0.038066684404059414,0.45011345903265165,0.049675730636598914,-0.08611655137943897,1,SUB01_1
0.009794293757543426,0.0001007159944126923,-0.18230537732031982,0.138697782175339,-0.0831923607454556,-0.13376647761683763,-0.053704862015064636,0.453619525721965,0.0701274688955581,-0.0901277325396394,1,SUB01_1
0.011580937526602164,0.0025832051371576514,-0.2853384182177672,0.20591967442025533,-0.11924773212345624,-0.1881426268758275,-0.1006064129471706,0.3987100502715775,0.067797451849821,-0.10964287500617431,1,SUB01_1
0.011801961671724925,0.004782908509488926,-0.3778852395343868,0.2536150754266501,-0.1424369689089785,-0.22472935138943806,-0.16754572366018056,0.3576504163877726,0.07144265014905254,-0.12295400460867156,1,SUB01_1
0.01510747431134224,0.006631828829013864,-0.4484990934200447,0.2808248737543412,-0.1547353488455382,-0.24413307057451922,-0.2311283911670461,0.34488934106192903,0.08467699151537844,-0.1241330331467409,1,SUB01_1
0.01767227239944502,0.00551524773582035,-0.5024832870866633,0.2633982457325939,-0.14502772876165787,-0.24075861872195498,-0.29926005203237804,0.3082251087733345,0.07601698688138553,-0.1340219723724171,1,SUB01_1
0.02585726485402151,-0.0021409139216808093,-0.539745928900609,0.2113821307169031,-0.11825848449523435,-0.2156927531174056,-0.3489967593643889,0.2745187288300054,0.05472734570764587,-0.14290613677105607,1,SUB01_1
0.04204098091695746,-0.018595090937253755,-0.5657444100898827,0.14043184395937114,-0.08172739104043358,-0.17689860359610032,-0.3751454604562725,0.24631929033434458,0.023748907540692754,-0.14702178827030193,1,SUB01_1
0.06529195291474754,-0.045476303737697066,-0.5861031249513435,0.06447458083182767,-0.04213614528740811,-0.13302414817755526,-0.3827237335693513,0.22024308172473095,-0.013541570743146158,-0.14453692214800107,1,SUB01_1
0.09326368177084987,-0.08375249593518358,-0.6049505665082398,-0.006395875526508332,-0.0043435264137986485,-0.09115947449745365,-0.3789092780563112,0.19417520786082382,-0.052720122941432135,-0.13448356880225465,1,SUB01_1
0.12354178090288581,-0.13359259516889355,-0.6248222030487428,-0.06697414097158283,0.029195526936147465,-0.05545502931371221,-0.3694246876014364,0.16755674275784915,-0.09010961785519261,-0.11706359124926041,1,SUB01_1
0.15380312472622992,-0.19365871469653245,-0.646719117043678,-0.11576362882807434,0.057743725174560445,-0.02746181701205236,-0.3577902760404075,0.1405725724610517,-0.12292217967598518,-0.09382142550524947,1,SUB01_1
